city,agency,theme,latitude,longitude,address,url,phone,,,,,,,,,,,,,,,,,,
강남구,A-센터(강남),시창업센터,37.5,127.05,서울특별시 강남구 테헤란로 501,https://www.facebook.com/sbainvestment,02-2135-8359,,,,,,,,,,,,,,,,,,
강남구,DEV코리아,시창업센터,37.5,127.05,서울특별시 강남구 테헤란로 501,https://www.facebook.com/sbainvestment,02-2135-8359,,,,,,,,,,,,,,,,,,
강남구,FT 엑셀러레이터,액셀러레이터,37.52,127.03,서울특별시 강남구 언주로148길 5,http://ftaccelerator.kr/ko/,,,,,,,,,,,,,,,,,,,
강남구,TIPS 타운,정부지원센터,37.49,127.03,서울특별시 강남구 역삼로 165,http://www.jointips.or.kr/,02-3440-7431~6,,,,,,,,,,,,,,,,,,
강남구,㈜쉬프트,액셀러레이터,37.5,127.04,서울특별시 강남구 테헤란로 306,https://www.facebook.com/techcodeacc,02-2188-3000,,,,,,,,,,,,,,,,,,
강서구,신기술창업센터,시창업센터,37.55,126.86,서울특별시 강서구 공항대로61길 29,https://job.seoul.go.kr/www/establish/establish-care_2_2_1.jsp,02-6283-1114,,,,,,,,,,,,,,,,,,
관악구,sk플래닛 상생혁신센터,시창업센터,37.55,126.86,서울특별시 강서구 공항대로61길 29,https://job.seoul.go.kr/www/establish/establish-care_2_2_1.jsp,02-6283-1114,,,,,,,,,,,,,,,,,,
관악구,로켓펀치,시창업센터,37.55,126.86,서울특별시 강서구 공항대로61길 29,https://job.seoul.go.kr/www/establish/establish-care_2_2_1.jsp,02-6283-1114,,,,,,,,,,,,,,,,,,
관악구,서울대학교 창업보육센터,대학창업센터,37.45,126.94,서울특별시 관악구 관악로 1,http://snurnd.snu.ac.kr,,,,,,,,,,,,,,,,,,,
광진구,건국대학교 벤처창업지원센터,대학창업센터,37.45,126.94,서울특별시 관악구 관악로 1,http://snurnd.snu.ac.kr,,,,,,,,,,,,,,,,,,,
광진구,동부여성발전센터,시창업센터,37.53,127.06,서울특별시 광진구 아차산로30길 36,http://dongbu.seoulwomanup.or.kr/,02-460-2300,,,,,,,,,,,,,,,,,,
광진구,세종대학교벤처창업보육센터,대학창업센터,37.55,127.07,서울특별시 광진구 군자로 121,http://startup.sejong.ac.kr/,02-3408-4383,,,,,,,,,,,,,,,,,,
구로구,IoT 인큐베이션센터,시창업센터,37.48,126.89,서울특별시 구로구 디지털로26길 72,,02-2657-5805,,,,,,,,,,,,,,,,,,
구로구,서울시창업지원센터,시창업센터,37.48,126.89,서울특별시 구로구 디지털로26길 72,https://job.seoul.go.kr/www/establish/establish-care_2_2_2.jsp,,,,,,,,,,,,,,,,,,,
구로구,엔젤투자자협동조합,엔젤투자조합,37.48,126.89,서울특별시 구로구 디지털로26길 72,,02-3274-4871,,,,,,,,,,,,,,,,,,
금천구,남부여성발전센터,시창업센터,37.46,126.9,서울특별시 금천구 독산로50길 23,http://nambu.seoulwomanup.or.kr/,02-802-0922~3,,,,,,,,,,,,,,,,,,
노원구,북부여성발전센터,시창업센터,37.64,127.05,서울특별시 노원구 동일로207길 50,http://bukbu.seoulwomanup.or.kr/,02-3399-7699,,,,,,,,,,,,,,,,,,
노원구,삼육대학교창업보육센터,대학창업센터,37.64,127.1,서울특별시 노원구 화랑로 815,http://syubi.syu.ac.kr/,02-3399-3908,,,,,,,,,,,,,,,,,,
노원구,서울과학기술대학교 창업보육센터,대학창업센터,37.63,127.07,서울특별시 노원구 공릉로 232,http://stbic.seoultech.ac.kr/,02-970-6114,,,,,,,,,,,,,,,,,,
노원구,서울여성공예센터더아리움,시창업센터,37.61,127.07,서울특별시 노원구 동일로174길 27,https://seoulcraftcenter.kr/,02-948-1188,,,,,,,,,,,,,,,,,,
노원구,서울여자대학교 창업보육센터,시창업센터,37.61,127.07,서울특별시 노원구 동일로174길 27,https://seoulcraftcenter.kr/,02-948-1188,,,,,,,,,,,,,,,,,,
동대문구,경희창업보육센터(서울),시창업센터,37.46,126.9,서울특별시 금천구 독산로50길 23,http://nambu.seoulwomanup.or.kr/,02-802-0922~3,,,,,,,,,,,,,,,,,,
동대문구,서울바이오허브,시창업센터,37.59,127.04,서울특별시 동대문구 회기로 117-3,http://www.seoulbiohub.kr,02-2200-3300,,,,,,,,,,,,,,,,,,
동대문구,카이스트 청년창업투자지주,시창업센터,37.59,127.04,서울특별시 동대문구 회기로 117-3,http://www.seoulbiohub.kr,02-2200-3300,,,,,,,,,,,,,,,,,,
동작구,숭실대학교 벤처중소기업센터,대학창업센터,37.49,126.95,서울특별시 동작구 상도로 369,http://startup.ssu.ac.kr/,02-828-7057,,,,,,,,,,,,,,,,,,
동작구,창업카페 숭실대점,시창업센터,37.49,126.95,서울특별시 동작구 상도로 378,http://startup.ssu.ac.kr/subpage.php?p=m6_6,070-5097-3337,,,,,,,,,,,,,,,,,,
마포구,(주)크립톤,파트너스,37.54,126.94,서울특별시 마포구 백범로31길 21,http://krypton36.co/,,,,,,,,,,,,,,,,,,,
마포구,A-센터(마포),시창업센터,37.57,126.88,서울특별시 마포구 매봉산로 37,,02-380-3201,,,,,,,,,,,,,,,,,,
마포구,DMC 창업센터,시창업센터,37.58,126.88,서울특별시 마포구 성암로 330,http://www.seouldesign.or.kr/page/35/detail?menuId=77,"02-3153-7174~5, 7177",,,,,,,,,,,,,,,,,,
마포구,게임콘텐츠 센터,시창업센터,37.58,126.88,서울특별시 마포구 성암로 330,http://ani.seoul.kr/index.sba,,,,,,,,,,,,,,,,,,,
마포구,서울앱비즈니스센터,시창업센터,37.58,126.87,서울특별시 마포구 매봉산로 31,http://appbiz.seoul.kr/,02-2124-2773,,,,,,,,,,,,,,,,,,
서대문구,데모데이,시창업센터,37.58,126.87,서울특별시 마포구 매봉산로 31,http://appbiz.seoul.kr/,02-2124-2773,,,,,,,,,,,,,,,,,,
서대문구,서울시립대창업보육센터,시창업센터,37.58,126.87,서울특별시 마포구 매봉산로 31,http://appbiz.seoul.kr/,02-2124-2773,,,,,,,,,,,,,,,,,,
서대문구,서울창업카페 신촌점,시창업센터,37.56,126.93,서울특별시 서대문구 연세로 50,http://seoulstartupcafe.com/,070-5121-1427,,,,,,,,,,,,,,,,,,
서대문구,연세대학교 창업지원단,시창업센터,37.56,126.93,서울특별시 서대문구 연세로 50,http://seoulstartupcafe.com/,070-5121-1427,,,,,,,,,,,,,,,,,,
서대문구,이화여자대학교 창업보육센터,시창업센터,37.56,126.93,서울특별시 서대문구 연세로 50,http://seoulstartupcafe.com/,070-5121-1427,,,,,,,,,,,,,,,,,,
서초구,ENSL파트너스,파트너스,37.49,127.01,서울특별시 서초구 서초대로55길 17,http://www.enslpartners.com/index,02-6339-2117,,,,,,,,,,,,,,,,,,
서초구,동문파트너즈,벤처캐피탈,37.49,127.02,서울특별시 서초구 강남대로 373,http://www.egpartners.co.kr/,02-2265-0566,,,,,,,,,,,,,,,,,,
서초구,삼성벤처투자,벤처캐피탈,37.49,127.02,서울특별시 서초구 서초대로74길 11,http://www.samsungventure.co.kr/,02-2255-0299,,,,,,,,,,,,,,,,,,
서초구,소프트뱅크벤처스,벤처캐피탈,37.5,127.02,서울특별시 서초구 강남대로 465,http://www.softbank.co.kr/,02-3484-9000,,,,,,,,,,,,,,,,,,
서초구,스트롱벤처스,벤처캐피탈,37.48,126.99,서울특별시 서초구 서초대로34길 8,http://kr.strongvc.com/,,,,,,,,,,,,,,,,,,,
성동구,디쓰리쥬빌리,액셀러레이터,37.54,127.04,서울특별시 성동구 왕십리로 88,http://d3jubilee.com/contact.html,,,,,,,,,,,,,,,,,,,
성동구,루트임팩트 (Root Impact),액셀러레이터,37.54,127.04,서울특별시 성동구 서울숲길 48,http://www.rootimpact.org,02-6495-0180,,,,,,,,,,,,,,,,,,
성동구,성수 메이커스페이스,시창업센터,37.54,127.05,서울특별시 성동구 성수이로22길 37,http://makers.sba.kr/,02-2115-0535,,,,,,,,,,,,,,,,,,
성동구,성수IT 종합센터,시창업센터,37.54,127.05,서울특별시 성동구 성수이로22길 37,http://ssit.sba.kr/,02-2115-0525,,,,,,,,,,,,,,,,,,
성동구,에스오피오오엔지(sopoong),시창업센터,37.54,127.05,서울특별시 성동구 성수이로22길 37,http://ssit.sba.kr/,02-2115-0525,,,,,,,,,,,,,,,,,,
성북구,고려대학교 창업보육센터,대학창업센터,37.58,127.02,서울특별시 성북구 인촌로 73,http://rms.korea.ac.kr/nsys/nrpt/content.do?menu_pgm_id=OINT80.NRPT3026Q.00&&header=Y,02-3290-4810,,,,,,,,,,,,,,,,,,
성북구,국민대창업보육센터,대학창업센터,37.58,127.02,서울특별시 성북구 인촌로 73,http://rms.korea.ac.kr/nsys/nrpt/content.do?menu_pgm_id=OINT80.NRPT3026Q.00&&header=Y,02-3290-4810,,,,,,,,,,,,,,,,,,
성북구,동대문글로벌센터,시창업센터,37.6,127.03,서울특별시 성북구 오패산로3길 12,http://global.seoul.go.kr/index.do?site_code=0302,02-2271-9521,,,,,,,,,,,,,,,,,,
성북구,서울창업성장센터,시창업센터,37.6,127.04,서울특별시 성북구 화랑로14길 5,http://www.postbi.seoul.kr/,02-958-6697,,,,,,,,,,,,,,,,,,
성북구,성북시제품제작소,시창업센터,37.61,127.01,서울특별시 성북구 서경로18길 30-3,,,,,,,,,,,,,,,,,,,,
송파구,먹거리 창업센터,시창업센터,37.49,127.11,서울특별시 송파구 양재대로 932,https://seoulfoodstartup.org/,02-6978-1741,,,,,,,,,,,,,,,,,,
양천구,서부여성발전센터,시창업센터,37.53,126.82,서울특별시 양천구 남부순환로 371,http://seobu.seoulwomanup.or.kr,02-2607-8791,,,,,,,,,,,,,,,,,,
영등포구,핀테크 아카데미,시창업센터,37.52,126.92,서울특별시 영등포구 여의나루로 67-8,http://www.kifin.or.kr/course/active/detail.do,,,,,,,,,,,,,,,,,,,
용산구,N15(엔피프틴),시창업센터,37.52,126.92,서울특별시 영등포구 여의나루로 67-8,http://www.kifin.or.kr/course/active/detail.do,,,,,,,,,,,,,,,,,,,
용산구,디지털대장간,시창업센터,37.53,126.96,서울특별시 용산구 청파로 112,https://www.digital-blacksmithshop.com/,02-718-9966,,,,,,,,,,,,,,,,,,
용산구,서울글로벌창업센터,시창업센터,37.53,126.96,서울특별시 용산구 청파로 109,http://seoulgsc.com/,02-718-1170,,,,,,,,,,,,,,,,,,
용산구,숙명여대창업보육센터,대학창업센터,37.54,126.96,서울특별시 용산구 청파로47길 90,http://changup.sookmyung.ac.kr/,02-710-9687,,,,,,,,,,,,,,,,,,
은평구,메이커파크,시창업센터,37.6,126.93,서울특별시 은평구 통일로 684,http://innovationpark.kr/,02-389-7512~3,,,,,,,,,,,,,,,,,,
